q,R
3.559092753359376863e-03,9.365339260894454121e-01
4.270911244402359960e-03,8.474566823992137898e-01
4.270911244402359960e-03,9.194144729160680374e-01
4.270911244402359960e-03,9.923922760744080529e-01
4.982729702920496093e-03,9.108565957280958525e-01
5.694548123492973457e-03,8.496511709741260132e-01
5.694548123492973457e-03,9.018360741643933753e-01
5.694548123492973457e-03,9.550387021933167686e-01
6.406366500698989358e-03,8.983776765696235289e-01
7.118184829117732426e-03,8.503843082722385427e-01
7.118184829117732426e-03,8.913478111658822423e-01
7.118184829117732426e-03,9.337689511845684853e-01
7.830003103328398231e-03,8.892631338786233242e-01
8.541821317910180608e-03,8.509834099908969440e-01
8.541821317910180608e-03,8.877380762277479187e-01
8.541821317910180608e-03,9.227424124993887089e-01
9.253639467442275127e-03,8.864148290945887965e-01
9.965457546503875622e-03,8.534572424669714108e-01
9.965457546503875622e-03,8.837598274484620431e-01
9.965457546503875622e-03,9.146346763938184576e-01
1.067727554967417419e-02,8.840985672723773448e-01
1.138909347153237335e-02,8.534274066453965135e-01
1.138909347153237335e-02,8.818935319478652390e-01
1.138909347153237335e-02,9.058510529509588016e-01
1.210091130665766346e-02,8.796061407206517968e-01
1.281272904962924356e-02,8.582025512138440337e-01
1.281272904962924356e-02,8.803556574127757717e-01
1.281272904962924356e-02,9.016389097663364272e-01
1.352454669502630921e-02,8.831345865036214215e-01
1.423636423742806814e-02,8.621912390033587004e-01
1.423636423742806814e-02,8.820982700197436133e-01
1.423636423742806814e-02,9.021243556565036181e-01
1.494818167141370897e-02,8.840116507919800748e-01
1.565999899156244116e-02,8.680732049338886203e-01
1.565999899156244116e-02,8.853555421080283594e-01
1.565999899156244116e-02,9.043573664587202243e-01
1.637181619245345679e-02,8.874839322794226826e-01
1.708363326866596185e-02,8.754558116200586992e-01
1.708363326866596185e-02,8.903024247754255383e-01
1.708363326866596185e-02,9.062899741557670641e-01
1.779545021477916752e-02,8.959587400827735415e-01
1.850726702537226764e-02,8.849551939908509857e-01
1.850726702537226764e-02,9.007876137831577479e-01
1.850726702537226764e-02,9.156611628768118738e-01
1.921908369502446645e-02,9.062267794194668324e-01
1.993090021831497166e-02,8.973623382158735229e-01
1.993090021831497166e-02,9.122768797100133664e-01
1.993090021831497166e-02,9.256596115116194623e-01
2.064271658982299446e-02,9.206021011334216686e-01
2.135453280412773561e-02,9.154998455877393360e-01
2.135453280412773561e-02,9.269990171661539602e-01
2.135453280412773561e-02,9.381955956600591673e-01
2.206634885580841671e-02,9.350438855973204344e-01
2.277816473944424547e-02,9.325788932805322284e-01
2.277816473944424547e-02,9.423398372946658608e-01
2.277816473944424547e-02,9.543104914598988797e-01
2.348998044961442613e-02,9.537705661895573561e-01
2.420179598089816989e-02,9.532763860281477930e-01
2.420179598089816989e-02,9.627115879336887172e-01
2.420179598089816989e-02,9.733712597313314285e-01
2.491361132787469831e-02,9.735287918496184911e-01
2.562542648512322954e-02,9.736451644013068840e-01
2.562542648512322954e-02,9.824218118965808433e-01
2.562542648512322954e-02,9.901779064411413422e-01
2.633724144722298516e-02,9.916477885575276652e-01
2.704905620875316247e-02,9.894948610963877345e-01
2.704905620875316247e-02,9.965023059663169480e-01
2.704905620875316247e-02,9.999999990000000283e-01
2.776087076429300735e-02,9.968278473361725789e-01
2.847268510842173098e-02,9.936216422397579073e-01
2.847268510842173098e-02,9.930647582459998235e-01
2.847268510842173098e-02,9.895334822513334183e-01
2.918449923571855495e-02,9.799093220881693878e-01
2.989631314076271126e-02,9.628602123105696187e-01
2.989631314076271126e-02,9.292424332278201859e-01
2.989631314076271126e-02,8.672588553956638302e-01
3.060812681813342498e-02,7.718802250122281938e-01
3.131994026240991769e-02,6.515810996580757575e-01
3.131994026240991769e-02,5.183477352851654230e-01
3.131994026240991769e-02,3.975074347055948532e-01
3.203175346817143526e-02,3.071550183684983448e-01
3.274356642999719930e-02,2.483872593975130494e-01
3.274356642999719930e-02,2.082836882655337007e-01
3.274356642999719930e-02,1.802435510362827564e-01
3.345537914246643485e-02,1.598146845323438203e-01
3.416719160015839474e-02,1.442253245967013986e-01
3.416719160015839474e-02,1.322354504506061401e-01
3.416719160015839474e-02,1.218491329539366785e-01
3.487900379765230402e-02,1.132047873685123190e-01
3.559081572952742245e-02,1.064149564058791270e-01
3.559081572952742245e-02,1.004964697433892024e-01
3.559081572952742245e-02,1.005122453640734520e-01
3.630262739036296815e-02,9.011329469038542594e-02
3.701443877473821475e-02,8.170908782000432802e-02
3.772624987723237344e-02,7.436000463508202207e-02
3.843806069242471785e-02,6.785657042579486264e-02
3.914987121489448690e-02,6.174343901444565713e-02
3.986168143922094037e-02,5.607342721485969461e-02
4.057349135998331718e-02,5.075902502449551601e-02
4.128530097176091179e-02,4.595871949339526419e-02
4.199711026913294232e-02,4.122292105186086547e-02
4.270891924667869627e-02,3.683457998848444631e-02
4.342072789897742646e-02,3.292862040487525704e-02
4.413253622060840653e-02,2.916362391241652044e-02
4.484434420615090316e-02,2.582808671918632865e-02
4.555615185018419694e-02,2.272628062208265076e-02
4.626795914728754761e-02,2.002169896459622678e-02
4.697976609204024268e-02,1.749165662944909480e-02
4.769157267902155578e-02,1.525604456607932910e-02
4.840337890281078137e-02,1.326678282439465277e-02
4.911518475798718614e-02,1.155384549478445308e-02
4.982699023913007147e-02,1.000887656374318917e-02
5.053879534081873182e-02,8.690108302008654403e-03
5.125060005763245469e-02,7.529311590855659007e-03
5.196240438415054147e-02,6.562615599258262745e-03
5.267420831495229355e-02,5.738149742776007048e-03
5.338601184461699845e-02,5.029490497011142487e-03
5.409781496772397835e-02,4.457351959343676569e-03
5.480961767885254854e-02,3.972290513162931268e-03
5.552141997258199652e-02,3.564351463616572107e-03
5.623322184349165836e-02,3.239869541792611465e-03
5.694502328616085629e-02,2.970607012289426963e-03
5.765682429516889862e-02,2.760909360336571538e-03
5.836862486509508674e-02,2.584594996345338219e-03
5.908042499051881918e-02,2.455922594983314493e-03
5.979222466601936264e-02,2.340437924900341544e-03
6.050402388617608790e-02,2.240357828213966705e-03
6.121582264556831021e-02,2.172993112994969084e-03
6.192762093877540730e-02,2.104295316276522717e-03
6.263941876037666667e-02,2.039178162703524696e-03
6.335121610495150768e-02,1.982965922333058614e-03
6.406301296707923865e-02,1.933102475995935069e-03
6.477480934133920953e-02,1.877237022496505659e-03
6.548660522231079806e-02,1.827702886719702715e-03
6.619840060457339581e-02,1.773705030922516053e-03
6.691019548270633888e-02,1.717819370943987536e-03
6.762198985128899109e-02,1.659324617179977913e-03
6.833378370490073017e-02,1.597302058575022533e-03
6.904557703812098934e-02,1.534539778561814106e-03
6.975736984552906306e-02,1.477333734616796375e-03
7.046916212170442617e-02,1.412565552399071105e-03
7.118095386122641477e-02,1.345546531809086984e-03
7.189274505867444820e-02,1.283192340973977408e-03
7.260453570862790418e-02,1.215266213745640981e-03
7.331632580566620205e-02,1.158846993494675468e-03
7.402811534436877505e-02,1.095944633430412894e-03
7.473990431931498701e-02,1.031614781516631066e-03
7.545169272508428504e-02,9.694928965983603012e-04
7.616348055625608848e-02,9.126379403369196553e-04
7.687526780740981669e-02,8.585588488140939245e-04
7.758705447312490289e-02,8.068136737831635690e-04
7.829884054798079418e-02,7.533334721549634749e-04
7.901062602655690992e-02,7.119243891485537226e-04
7.972241090343268333e-02,6.609446032155439276e-04
8.043419517318756151e-02,6.200259369180885364e-04
8.114597883040104709e-02,5.775457737706949247e-04
8.185776186965255941e-02,5.381201683644182233e-04
8.256954428552158720e-02,5.024629345614776456e-04
8.328132607258756370e-02,4.682861667874568335e-04
8.399310722542994989e-02,4.348935947729636801e-04
8.470488773862829002e-02,4.072998728876703117e-04
8.541666760676196180e-02,3.814244523146111121e-04
8.612844682441056499e-02,3.540142611823369773e-04
8.684022538615351894e-02,3.320428210613523743e-04
