q,R
3.559092753359376863e-03,2.088030222999201144e-02
4.270911244402359960e-03,2.725281864628049944e-02
4.270911244402359960e-03,2.956686330904360199e-02
4.270911244402359960e-03,3.191370990738626179e-02
4.982729702920496093e-03,3.978993437486152973e-02
5.694548123492973457e-03,4.851800275306868832e-02
5.694548123492973457e-03,5.149794012050764452e-02
5.694548123492973457e-03,5.453599307485160197e-02
6.406366500698989358e-03,6.480055945884727331e-02
7.118184829117732426e-03,7.573728067210359904e-02
7.118184829117732426e-03,7.938558918643109918e-02
7.118184829117732426e-03,8.316371838401168115e-02
7.830003103328398231e-03,9.562520499058252410e-02
8.541821317910180608e-03,1.088401095173799349e-01
8.541821317910180608e-03,1.135410024452873090e-01
8.541821317910180608e-03,1.180180295461473461e-01
9.253639467442275127e-03,1.327076170790735254e-01
9.965457546503875622e-03,1.479736667564708896e-01
9.965457546503875622e-03,1.532275733185566313e-01
9.965457546503875622e-03,1.585806998447753524e-01
1.067727554967417419e-02,1.753813195917896250e-01
1.138909347153237335e-02,1.921361338253613493e-01
1.138909347153237335e-02,1.985448467534996486e-01
1.138909347153237335e-02,2.039385163501608034e-01
1.210091130665766346e-02,2.225848773520673896e-01
1.281272904962924356e-02,2.425224257664068128e-01
1.281272904962924356e-02,2.487827486234833740e-01
1.281272904962924356e-02,2.547972564755853764e-01
1.352454669502630921e-02,2.764824499411814296e-01
1.423636423742806814e-02,2.974229906095489095e-01
1.423636423742806814e-02,3.042901546728571383e-01
1.423636423742806814e-02,3.111983880251988910e-01
1.494818167141370897e-02,3.337251293037948319e-01
1.565999899156244116e-02,3.566743929410841618e-01
1.565999899156244116e-02,3.637753690777198456e-01
1.565999899156244116e-02,3.715828490445331478e-01
1.637181619245345679e-02,3.951313649957293728e-01
1.708363326866596185e-02,4.199923720355173695e-01
1.708363326866596185e-02,4.271149065894370711e-01
1.708363326866596185e-02,4.347847954524615699e-01
1.779545021477916752e-02,4.613110696786877907e-01
1.850726702537226764e-02,4.865868257180691603e-01
1.850726702537226764e-02,4.952921781853814598e-01
1.850726702537226764e-02,5.034703018707481492e-01
1.921908369502446645e-02,5.301993212637106101e-01
1.993090021831497166e-02,5.561753422812582004e-01
1.993090021831497166e-02,5.654192116280815084e-01
1.993090021831497166e-02,5.737136821169148693e-01
2.064271658982299446e-02,6.024663951561887165e-01
2.135453280412773561e-02,6.301519135964949170e-01
2.135453280412773561e-02,6.380669613181526589e-01
2.135453280412773561e-02,6.457737298009276206e-01
2.206634885580841671e-02,6.749418744860266051e-01
2.277816473944424547e-02,7.035607477506320429e-01
2.277816473944424547e-02,7.109246470533649997e-01
2.277816473944424547e-02,7.199556067364630829e-01
2.348998044961442613e-02,7.500913008744298782e-01
2.420179598089816989e-02,7.792867352385102198e-01
2.420179598089816989e-02,7.869998473950038376e-01
2.420179598089816989e-02,7.957139422230484760e-01
2.491361132787469831e-02,8.253974988101763222e-01
2.562542648512322954e-02,8.541121804413400742e-01
2.562542648512322954e-02,8.618113318319432503e-01
2.562542648512322954e-02,8.686152220566054627e-01
2.633724144722298516e-02,8.983641417450500821e-01
2.704905620875316247e-02,9.239454577391346124e-01
2.704905620875316247e-02,9.304886921771705621e-01
2.704905620875316247e-02,9.337546794145276108e-01
2.776087076429300735e-02,9.578899057857246380e-01
2.847268510842173098e-02,9.810831105477242353e-01
2.847268510842173098e-02,9.805332538849514945e-01
2.847268510842173098e-02,9.770465391373199804e-01
2.918449923571855495e-02,9.929160323491654783e-01
2.989631314076271126e-02,1.000000000000000000e+00
2.989631314076271126e-02,9.650855039828025728e-01
2.989631314076271126e-02,9.007110735355832176e-01
3.060812681813342498e-02,8.208133368555412535e-01
3.131994026240991769e-02,7.088024492264396459e-01
3.131994026240991769e-02,5.638686337876245291e-01
3.131994026240991769e-02,4.324162314242762095e-01
3.203175346817143526e-02,3.415091378264009658e-01
3.274356642999719930e-02,2.820596102851985476e-01
3.274356642999719930e-02,2.365194419753262056e-01
3.274356642999719930e-02,2.046780739173643948e-01
3.345537914246643485e-02,1.852223821291725248e-01
3.416719160015839474e-02,1.704973054790570042e-01
3.416719160015839474e-02,1.563233646230759721e-01
3.416719160015839474e-02,1.440450831235844109e-01
3.487900379765230402e-02,1.364237813006833333e-01
3.559081572952742245e-02,1.306624872598902420e-01
3.559081572952742245e-02,1.233954243677267693e-01
3.559081572952742245e-02,1.234147945943088048e-01
3.630262739036296815e-02,1.126798687677453004e-01
3.701443877473821475e-02,1.040013372962775434e-01
3.772624987723237344e-02,9.630096329517061349e-02
3.843806069242471785e-02,8.937745944552308308e-02
3.914987121489448690e-02,8.268020182420386666e-02
3.986168143922094037e-02,7.630971077032382144e-02
4.057349135998331718e-02,7.017644637735943880e-02
